timestamp,zip_code,substation_id,temp_celsius,cloud_cover_pct,humidity_pct,gross_grid_load_mw,der_solar_gen_mw,der_battery_discharge_mw,net_load_mw,voltage_sensor_pu,frequency_hz
2023-01-01 00:00:00,19104,SUB-PHL-01,-3.87,16.82,48.76,841.51,0.0,0.0,841.51,0.9989,60.005
2023-01-01 01:00:00,19101,SUB-PHL-01,-4.97,18.99,40.69,814.36,0.0,0.0,814.36,0.9968,59.995
2023-01-01 02:00:00,19101,SUB-PHL-01,-2.9,46.07,81.55,723.21,0.0,0.0,723.21,1.0155,60.002
2023-01-01 03:00:00,19104,SUB-PHL-01,-0.36,28.63,54.21,665.54,0.0,0.0,665.54,0.9898,60.023
2023-01-01 04:00:00,19104,SUB-PHL-01,-2.84,24.75,53.91,645.48,0.0,0.0,645.48,0.9959,59.998
2023-01-01 05:00:00,19103,SUB-PHL-01,-1.63,64.52,40.19,581.76,0.0,0.0,581.76,0.9932,59.999
2023-01-01 06:00:00,19101,SUB-PHL-02,3.29,65.1,52.98,482.16,0.0,0.0,482.16,1.0108,59.999
2023-01-01 07:00:00,19104,SUB-PHL-01,2.96,82.45,82.3,432.07,2.27,0.0,429.8,1.0167,60.026
2023-01-01 08:00:00,19102,SUB-PHL-01,1.69,41.77,51.79,436.95,14.56,0.0,422.39,1.014,59.978
2023-01-01 09:00:00,19101,SUB-PHL-01,4.75,7.31,87.1,413.57,32.77,0.0,380.8,1.0119,60.036
2023-01-01 10:00:00,19103,SUB-PHL-02,3.54,27.37,86.78,430.83,31.45,0.0,399.38,1.0195,59.976
2023-01-01 11:00:00,19104,SUB-PHL-02,4.03,98.0,38.69,440.48,0.97,0.0,439.51,1.0079,59.987
2023-01-01 12:00:00,19101,SUB-PHL-02,5.62,59.63,40.64,458.0,20.18,0.0,437.82,1.01,60.015
2023-01-01 13:00:00,19101,SUB-PHL-01,1.14,70.97,81.76,541.66,14.02,0.0,527.64,1.0193,60.021
2023-01-01 14:00:00,19104,SUB-PHL-01,1.01,0.74,53.57,590.47,42.98,0.0,547.49,0.9803,59.972
2023-01-01 15:00:00,19104,SUB-PHL-01,2.54,51.82,30.26,611.82,17.03,0.0,594.79,1.0054,59.978
